item_key,item_name,description,unit_price,man_country,supplier,stock_quantity,unit
I00043,Topo Chico 20oz plastic,a. Beverage Sparkling Water,24,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,bottles
I00044,Waterloo Sparkling Blackcherry 12oz,a. Beverage Sparkling Water,8,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,12,cans
I00045,Waterloo Sparkling Grapefruit 12oz,a. Beverage Sparkling Water,8,India,Indo Count Industries Ltd,12,cans
I00046,Waterloo Sparkling Lemon 12oz,a. Beverage Sparkling Water,8,poland,CHROMADURLIN S.A.S,12,cans
I00047,Waterloo Sparkling Lime 12oz,a. Beverage Sparkling Water,8,United States,MAESA SAS,12,cans
I00048,Waterloo Sparkling Mango 12oz,a. Beverage Sparkling Water,8,India,Indo Count Industries Ltd,12,cans
I00049,Waterloo Sparkling Original 12oz,a. Beverage Sparkling Water,8,Germany,Friedola 1888 GmbH,12,cans
I00050,Waterloo Sparkling Watermelon 12oz,a. Beverage Sparkling Water,8,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,12,cans
I00051,Monster Java 15 oz,Beverage - Energy/Protein ,23,China,"CHERRY GROUP CO.,LTD",12,cans
I00052,Monster Lo-Carb 16 oz,Beverage - Energy/Protein,40,China,"CHERRY GROUP CO.,LTD",24,cans
I00053,Monster Original Green 16 oz,Beverage - Energy/Protein,40,Bangladesh,DENIMACH LTD,24,cans
I00054,Monster Zero Ultra 16 oz,Beverage - Energy/Protein,40,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,cans
I00055,Monster Zero Ultra Variety 16 oz,Beverage - Energy/Protein,40,India,Indo Count Industries Ltd,24,cans
I00056,Muscle Milk Protein Shake Choc. 11oz,Beverage - Energy/Protein,24,Germany,Friedola 1888 GmbH,12,bottles
I00057,Muscle Milk Protein Shake Van. 11oz,Beverage - Energy/Protein,24,Germany,Friedola 1888 GmbH,12,bottles
I00058,Premier Protein Shake Choc. 11oz,Beverage - Energy/Protein,22,Bangladesh,DENIMACH LTD,12,bottles
I00059,Muscle Milk Protein Shake Van. 11oz,Beverage - Energy/Protein,22,Netherlands,Bolsius Boxmeer,12,bottles
I00060,Muscle Milk Protein Shake Strbry. 11oz,Beverage - Energy/Protein,22,Bangladesh,DENIMACH LTD,12,bottles
I00061,Red Bull 12oz,Beverage - Energy/Protein,55,Netherlands,Bolsius Boxmeer,24,cans
I00062,Red Bull 16oz,Beverage - Energy/Protein,37,Bangladesh,DENIMACH LTD,12,cans
I00063,Red Bull 8.4 oz,Beverage - Energy/Protein,40,India,Indo Count Industries Ltd,24,cans
I00064,Red Bull Sugar Free 8.4 oz,Beverage - Energy/Protein,40,China,"CHERRY GROUP CO.,LTD",24,cans
I00065,G2 Lo Calorie Variety 20 oz,Beverage - Gatorade,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,bottles
I00066,Gatorade Frost Variety 20 oz ,Beverage - Gatorade,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,bottles
I00067,Gatorade Lemon Lime 12oz,Beverage - Gatorade,8,Bangladesh,DENIMACH LTD,12,bottles
I00068,Gatorade Liberty Variety 20 oz ,Beverage - Gatorade,20,Bangladesh,DENIMACH LTD,24,bottles
I00069,Gatorade Frost Variety 12 oz,Beverage - Gatorade,17.5,Finland,HARDFORD AB,28,bottles
I00070,Gatorade Liberty Variety 12 oz,Beverage - Gatorade,17.5,Netherlands,Bolsius Boxmeer,28,bottles
I00071,Gatorade Original Variety 12 oz,Beverage - Gatorade,17.5,India,Indo Count Industries Ltd,28,bottles
I00072,Gatorade Variety 20 oz ,Beverage - Gatorade,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,bottles
I00073,Gatorade X-Factor Fierce Variety 20 oz,Beverage - Gatorade,20,Lithuania,BIGSO AB,24,bottles
I00074,Gatorade Zero Variety 20 oz,Beverage - Gatorade,20,China,"CHERRY GROUP CO.,LTD",24,bottles
I00075,Brisk Lemon Iced Tea - 12 oz cans,Beverage - Iced Tea,15.5,India,Indo Count Industries Ltd,36,cans
I00076,Diet Fuze Iced Tea,Beverage - Iced Tea,6.75,poland,CHROMADURLIN S.A.S,12,cans
I00077,Fuze Iced Tea,Beverage - Iced Tea,6.75,Finland,HARDFORD AB,12,cans
I00078,Pure Leaf Sweet Tea 8.5oz,Beverage - Iced Tea,17,China,"CHERRY GROUP CO.,LTD",15,bottles
I00079,Pure Leaf Unsweetened Tea 18.5oz,Beverage - Iced Tea,17,United States,MAESA SAS,15,bottles
I00080,Snapple Variety Pack 20oz,Beverage - Iced Tea,22,United States,MAESA SAS,24,bottles
I00081,Tejava Unsweetened Black Tea 16.9oz,Beverage - Iced Tea,29,Netherlands,Bolsius Boxmeer,12,bottles
I00082,100% Juice Box Variety 6.75 oz ,Beverage - Juice,15,India,Indo Count Industries Ltd,36,ct
I00083,Ocean Spray Cranberry Juice Cocktail 15oz ,Beverage - Juice,14,Finland,HARDFORD AB,12,bottles
I00084,Tropicana Apple Juice 10 oz 100% ,Beverage - Juice,18,Lithuania,BIGSO AB,24,bottles
I00085,Tropicana Orange Juice 10 oz 100% ,Beverage - Juice,18,Lithuania,BIGSO AB,24,bottles
I00086,V8 100% Vegetable Juice 11oz cans,Beverage - Juice,18,United States,MAESA SAS,28,cans
I00087,V-8 Splash Variety 20 oz,Beverage - Juice,15,Germany,Friedola 1888 GmbH,12,bottles
I00088,Welch's 100% Juice Variety10 oz,Beverage - Juice,17,Netherlands,Bolsius Boxmeer,24,bottles
I00089,AquaFina Purified Drinking Water 16oz,Beverage Water,9,Bangladesh,DENIMACH LTD,32,bottles
I00090,Dasani Bottled Water 16.9 oz,Beverage Water,9,India,Indo Count Industries Ltd,24,bottles
I00091,Nestle Purelife 16oz ,Beverage Water,7.5,Germany,Friedola 1888 GmbH,24,bottles
I00092,Ozarka Spring Water 16.9 oz bottles,Beverage Water,10,poland,CHROMADURLIN S.A.S,40,bottles
I00093,Ozarka Spring Water 20 oz,Beverage Water,13,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,28,bottles
I00094,Ozarka Spring Water Mini 8oz,Beverage Water,11,United States,MAESA SAS,48,bottles
I00095,Propel Zero Variety 20 oz,Beverage Water,16,Finland,HARDFORD AB,24,botlltes
I00096,Sobe Zero Lifewater Variety 20 oz,Beverage Water,20,Netherlands,Bolsius Boxmeer,12,bottles
I00097,Vita Coconut Water 10oz ,Beverage Water,19,Bangladesh,DENIMACH LTD,12,cartons
I00098,Coffee-Mate French Vanilla Cold,Coffee Cream,10,China,"CHERRY GROUP CO.,LTD",64,oz
I00099,Coffee-Mate Original Flavor Cold,Coffee Cream,6,Finland,HARDFORD AB,32,oz
I00100,Coffee-mate Original Powdered Creamer,Coffee Cream,10,Finland,HARDFORD AB,50,oz.
I00101,French Vanilla International Delight,Coffee Cream,15,India,Indo Count Industries Ltd,188,tubs
I00102,Half & Half -Land o Lakes Mini Moo's,Coffee Cream,16,Germany,Friedola 1888 GmbH,192,tubs
I00103,Hazelnut International Delight,Coffee Cream,15,Bangladesh,DENIMACH LTD,188,tubs
I00104,Njoy Creamer Canister 16 oz,Coffee Creamer,14,Lithuania,BIGSO AB,8,ct
I00105,Njoy Creamer Packs,Coffee Creamer,16.5,United States,MAESA SAS,1000,ct
I00106,Community Coffee Dark Roast,Coffee Ground,17,Germany,Friedola 1888 GmbH,40,oz
I00107,Dunkin Donuts Original Blend,Coffee Ground,20,India,Indo Count Industries Ltd,40,oz
I00108,Folgers 100% Colombian Coffee,Coffee Ground,15,China,"CHERRY GROUP CO.,LTD",35,oz
I00109,Folgers Classic Roast Coffee,Coffee Ground,17,Netherlands,Bolsius Boxmeer,48,oz
I00110,Starbuck's Pike Place,Coffee Ground,22.5,Bangladesh,DENIMACH LTD,32,oz
I00111,K Cups Hot Cocoa,Coffee Hot Cocoa,16,Lithuania,BIGSO AB,16,ct
I00112,Swiss Miss Hot Cocoa Mix 1 oz,Coffee Hot Cocoa,14,Lithuania,BIGSO AB,60,ct.
I00113,K Cups - McCafe Premium Roast,Coffee K-Cups,42,Finland,HARDFORD AB,84,ct
I00114,K Cups – Starbuck's Pike Place,Coffee K-Cups,44,Netherlands,Bolsius Boxmeer,72,ct
I00115,K Cups Daily Chef Columbian Supremo,Coffee K-Cups,53,poland,CHROMADURLIN S.A.S,100,ct
I00116,K Cups Dunkin Donuts Medium Roast,Coffee K-Cups,48,United States,MAESA SAS,72,ct
I00117,K Cups Folgers Lively Columbian,Coffee K-Cups,46,India,Indo Count Industries Ltd,80,ct
I00118,K Cups –Organic Breakfast Blend,Coffee K-Cups,42,Bangladesh,DENIMACH LTD,80,ct
I00119,K Cups Original Donut Shop Med. Roast,Coffee K-Cups,53,Germany,Friedola 1888 GmbH,100,ct
I00120,K Cups - Green Tea,Coffee K-Cups Tea,9,poland,CHROMADURLIN S.A.S,12,ct
I00121,Stirrers Coffee Stirs 7inch,Coffee Stirrers,17,United States,MAESA SAS,5000,ct
I00122,Equal Sweetener,Coffee Sweetener,15,United States,MAESA SAS,800,ct
I00123,Honey Packets  ,Coffee Sweetener,45,China,"CHERRY GROUP CO.,LTD",200,ct
I00124,Njoy Sugar Canister 22 oz,Coffee Sweetener,15,Lithuania,BIGSO AB,8,ct
I00125,Pure White Sugar Packets,Coffee Sweetener,15,China,"CHERRY GROUP CO.,LTD",2000,ct
I00126,Splenda Sweetener,Coffee Sweetener,25,Netherlands,Bolsius Boxmeer,1200,ct
I00127,Sugar in the Raw Packets,Coffee Sweetener,12.5,Germany,Friedola 1888 GmbH,500,pk
I00128,Sweet N Low Sweetener,Coffee Sweetener,16,poland,CHROMADURLIN S.A.S,1500,pk
I00129,Truvia Natural Sweetener,Coffee Sweetener,18,poland,CHROMADURLIN S.A.S,400,pk
I00130,Hefty Supreme Foam Bowls 12oz,Dishware - Bowls,14,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,300,ct
I00131,Paper Bowls 20 oz Ultra Strong,Dishware - Bowls,14,Lithuania,BIGSO AB,150,ct
I00132,Clear Plastic 12 oz Cups,Dishware - Cups Cold,14,Finland,HARDFORD AB,330,ct
I00133,Clear Plastic Cups 9oz,Dishware - Cups Cold,15,Netherlands,Bolsius Boxmeer,264,ct
I00134,Red Plastic Cups 18oz,Dishware - Cups Cold,16,India,Indo Count Industries Ltd,252,ct
I00135,Chinet Comfort Hot Cups with Lids 16oz,Dishware - Cups Hot,14,India,Indo Count Industries Ltd,60,ct.
I00136,Dixie Perfecttouch Paper Cups 12oz,Dishware - Cups Hot,19.5,poland,CHROMADURLIN S.A.S,176,ct
I00137,Foam Coffee Cups - 08 ounce,Dishware - Cups Hot,24,Netherlands,Bolsius Boxmeer,1000,ct
I00138,Foam Coffee Cups - 12 ounce,Dishware - Cups Hot,32,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,1000,ct
I00139,Foam Coffee Cups - 16 ounce,Dishware - Cups Hot,24,Finland,HARDFORD AB,500,ct
I00140,Foam Coffee Cups - 20 ounce,Dishware - Cups Hot,29,poland,CHROMADURLIN S.A.S,500,ct
I00141,Hefty Cmprtmnt Plates Foam 10',Dishware - Plates,18,Bangladesh,DENIMACH LTD,200,ct
I00142,Hefty Supreme Foam Plates 6 inch,Dishware - Plates,12.5,poland,CHROMADURLIN S.A.S,320,ct
I00143,Hefty Supreme Foam Plates 9 inch,Dishware - Plates,16,Lithuania,BIGSO AB,250,ct
I00144,Paper Plate 10 inch Ultra Strong,Dishware - Plates,20,Germany,Friedola 1888 GmbH,204,ct
I00145,Paper Plates 7 inch  Ultra Strong,Dishware - Plates,17,Netherlands,Bolsius Boxmeer,330,ct
I00146,Paper Plates 8.5 inch Ultra Strong,Dishware - Plates,21,Bangladesh,DENIMACH LTD,300,ct
I00147,Plastic Forks White Heavyweight,Dishware - Utensils,15,Germany,Friedola 1888 GmbH,600,ct
I00148,Plastic Knives White  Heavyweight,Dishware - Utensils,15,Finland,HARDFORD AB,600,ct
I00149,Plastic Spoons White  Heavyweight,Dishware - Utensils,15,China,"CHERRY GROUP CO.,LTD",600,ct
I00150,Baked Chips Variety Mix Frito,Food - Chips,16,China,"CHERRY GROUP CO.,LTD",30,bags
I00151,Cheetos Flamin' Hot 1 oz,Food - Chips,17,Finland,HARDFORD AB,50,bags
I00152,Cheez It Original Crackers 1.5oz,Food - Chips,15,China,"CHERRY GROUP CO.,LTD",45,bags
I00153,Cheez It White Cheddar 1.5 oz,Food - Chips,15,India,Indo Count Industries Ltd,45,bags
I00154,Chex Mix Original,Food - Chips,15,Germany,Friedola 1888 GmbH,36,Bags
I00155,Doritos Nacho Cheese 1 oz,Food - Chips,17,poland,CHROMADURLIN S.A.S,50,bags
I00156,Flamin Hot Chip Mix 1oz,Food - Chips,17,Lithuania,BIGSO AB,30,bags
I00157,Frito Big Grab Variety 1.5-2.0 oz,Food - Chips,17,Lithuania,BIGSO AB,30,bags
I00158,Frito Bold Flavors Variety,Food - Chips,17,Finland,HARDFORD AB,50,
I00159,Frito BOLD Flavors Variety Pack,Food - Chips,17,United States,MAESA SAS,50,bags
I00160,Frito Classic Mix Variety,Food - Chips,17,Finland,HARDFORD AB,50,bags
I00161,Frito Fiesta Flavors Variety,Food - Chips,17,United States,MAESA SAS,30,Bags
I00162,Gardettos Snacks,Food - Chips,16,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,36,Bags
I00163,Goldfish Pepperidge Farm Cheddar 1.5oz ,Food - Chips,15,India,Indo Count Industries Ltd,30,bags
I00164,"Goldfish Variety Bags, cheddar, pretzels",Food - Chips,16,United States,MAESA SAS,45,ct
I00165,Miss Vickies Chips,Food - Chips,16,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,30,bags
I00166,Pop Chips Variety bags,Food - Chips,17,United States,MAESA SAS,30,bags
I00167,Pringles Snak Stacks Variety,Food - Chips,14,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,36,ct
I00168,Snyders Pretzels Minis,Food - Chips,18,Finland,HARDFORD AB,48,ct
I00169,Sun Chips Variety Pack,Food - Chips,17,Bangladesh,DENIMACH LTD,30,ct
I00170,Veggie Chips 1oz ,Food - Chips,15,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,30,ct.
I00171,Dark Chocolate Mint Patties,Food - Chocolate,16,Netherlands,Bolsius Boxmeer,240,ct
I00172,Hershey Chocoalte Minatures Assort.,Food - Chocolate,19,Lithuania,BIGSO AB,55,oz
I00173,Hershey Factory Favorites Mix,Food - Chocolate,19,Netherlands,Bolsius Boxmeer,120,ct
I00174,Hershey Kisses ,Food - Chocolate,18,Finland,HARDFORD AB,56,oz
I00175,Hershey Nuggets,Food - Chocolate,19,India,Indo Count Industries Ltd,52,oz
I00176,M&M Peanut Butter 1.6 oz,Food - Chocolate,19,Bangladesh,DENIMACH LTD,24,ct
I00177,M&M Peanut Candy 1.7 oz,Food - Chocolate,35,India,Indo Count Industries Ltd,48,ct
I00178,M&M Variety Full Size Bags,Food - Chocolate,26,China,"CHERRY GROUP CO.,LTD",30,ct
I00179,Mars Chocolate Favorites,Food - Chocolate,19,Bangladesh,DENIMACH LTD,135,ct
I00180,Mars Mini Mix,Food - Chocolate,19,poland,CHROMADURLIN S.A.S,205,ct
I00181,Reese's Peanutbutter Cups 2/pk,Food - Chocolate,26,Germany,Friedola 1888 GmbH,36,ct
I00182,Reese's Pieces Peanutbutter Candy,Food - Chocolate,15,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,48,oz
I00183,Snickers Bars 1.8oz,Food - Chocolate,35,Bangladesh,DENIMACH LTD,48,ct
I00184,Tootsie Roll Midgets,Food - Chocolate,12,Finland,HARDFORD AB,760,ct
I00185,Apple Sauce Variety GoGO Squeeze 3.2oz,Food - Healthy,14,United States,MAESA SAS,20,ct
I00186,Belvita Hard Biscuits Blueberry,Food - Healthy,13,Germany,Friedola 1888 GmbH,20,ct
I00187,Belvita Hard Biscuits Cinnamon,Food - Healthy,13,India,Indo Count Industries Ltd,20,ct.
I00188,Belvita Protein Oats Soft Biscuit,Food - Healthy,14,United States,MAESA SAS,15,ct
I00189,Chewy Granola Variety Bars Quaker,Food - Healthy,13,Finland,HARDFORD AB,60,ct.
I00190,Chobani Greek Yogurt Variety Pack ,Food - Healthy,16,poland,CHROMADURLIN S.A.S,16,ct
I00191,Cliff Builders Protein Bar Variety Pack,Food - Healthy,24,Finland,HARDFORD AB,18,bars
I00192,Cliff Energy Bars Variety Pack,Food - Healthy,24,Lithuania,BIGSO AB,24,ct
I00193,Crunchy Granola Bars Oats & Honey,Food - Healthy,18,China,"CHERRY GROUP CO.,LTD",98,ct
I00194,Detour Lower Sugar Protein Bar,Food - Healthy,23,Germany,Friedola 1888 GmbH,20,bars
I00195,Dole Fruit in Gel Cups 4.3 oz,Food - Healthy,12.5,India,Indo Count Industries Ltd,16,ct
I00196,Fiber One 90 Calorie Fudge Brownies,Food - Healthy,16,Finland,HARDFORD AB,40,ct
I00197,Fiber One Bars Oats and Chocolate,Food - Healthy,15,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,36,bars
I00198,"Go-Gurt Low Fat Yogurt, Strwbry & Berry ",Food - Healthy,12,United States,MAESA SAS,32,ct
I00199,Kellogg's Fruity Snacks,Food - Healthy,15,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,ct
I00200,Kind  Bars Mini Variety Pack 0.7 oz ,Food - Healthy,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,32,bars
I00201,Kind  Bars Variety Pack 1.4 oz ,Food - Healthy,23,China,"CHERRY GROUP CO.,LTD",18,bars
I00202,Lunchables Variety Pack Oscar Meyer,Food - Healthy,12,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,6,ct.
I00203,Nat.Valley PeanutButter Protein Bars,Food - Healthy,18,Germany,Friedola 1888 GmbH,30,ct
I00204,Nature Valley Biscuit Sandwich Variety Pack ,Food - Healthy,17,Lithuania,BIGSO AB,30,ct
I00205,Nature Valley Chewy Trail Mix Bars,Food - Healthy,16,Netherlands,Bolsius Boxmeer,48,ct
I00206,Nature Valley Soft Oatmeal Squares   ,Food - Healthy,15,Bangladesh,DENIMACH LTD,34,ct
I00207,Nature Valley Sweet/Salty Almond Bars      ,Food - Healthy,14,China,"CHERRY GROUP CO.,LTD",48,ct
I00208,Nature Valley Sweet/Salty Peanut Bars      ,Food - Healthy,14,Germany,Friedola 1888 GmbH,48,ct
I00209,Quaker Instant Oatmeal Maple Brn Sugar,Food - Healthy,13,poland,CHROMADURLIN S.A.S,40,ct
I00210,Quaker Instant Oatmeal Variety ,Food - Healthy,15,China,"CHERRY GROUP CO.,LTD",52,ct
I00211,"Sargento Bal. Breaks (fruit, nut, cheese)",Food - Healthy,15,India,Indo Count Industries Ltd,12,ct.
I00212,Sargento String Cheese 0.75oz,Food - Healthy,12,poland,CHROMADURLIN S.A.S,28,ct
I00213,Yoplait Original Yogurt Variety Pack ,Food - Healthy,12,Bangladesh,DENIMACH LTD,18,ct
I00214,Deluxe Mixed Nuts with Seasalt,Food - Nuts,19.5,China,"CHERRY GROUP CO.,LTD",34,oz
I00215,Planters Nut Variety Packs,Food - Nuts,14,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,24,ct.
I00216,Planters Nut-trition 1.5 oz ,Food - Nuts,16.5,Netherlands,Bolsius Boxmeer,12,ct
I00217,Unsalted Premium Blend Nuts,Food - Nuts,20.5,India,Indo Count Industries Ltd,36,oz
I00218,"Blue Diamond Almonds Rstd, Sltd",Food - Nuts,6,Netherlands,Bolsius Boxmeer,7,ct
I00219,Wonderful Pistachios (in shell),Food - Nuts,22,poland,CHROMADURLIN S.A.S,24,ct
I00220,Austin Cookie Cracker Variety,Food - Snacks,14,Germany,Friedola 1888 GmbH,45,ct
I00221,Austin Toasty Crackers w/ PBtr,Food - Snacks,14,India,Indo Count Industries Ltd,45,ct
I00222,Cheese and Peanut Butter Crackers,Food - Snacks,12,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,40,ct
I00223,Lance Variety Cracker Packs ,Food - Snacks,13.5,India,Indo Count Industries Ltd,40,ct
I00224,Peanutbutter Filled Pretzels,Food - Snacks,11,Netherlands,Bolsius Boxmeer,44,oz
I00225,Famous Amos Cookies ,Food - Sweets,17,Finland,HARDFORD AB,42,ct
I00226,Jolly Ranchers Variety Hard Candy,Food - Sweets,15,Netherlands,Bolsius Boxmeer,5,lb
I00227,Keebler Cookie & Cracker Variety,Food - Sweets,15,India,Indo Count Industries Ltd,42,pk
I00228,"Kellogg Fun Mix Cheez it, Prngls, Fam Amos",Food - Sweets,14,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,38,pk
I00229,Kellogg's Cereals Assortment Pack ,Food - Sweets,13,United States,MAESA SAS,30,ct
I00230,"Nabisco Classic Mix ccooki, cracker",Food - Sweets,15,India,Indo Count Industries Ltd,40,pk
I00231,Nabisco Cookie Variety Pk Oreo/ChocChip,Food - Sweets,16,Finland,HARDFORD AB,60,pk
I00232,"Pop-Tarts, Brown Sugar Cinnamon ",Food - Sweets,12,United States,MAESA SAS,36,ct
I00233,"Pop-Tarts, Frosted Strawberry",Food - Sweets,12,India,Indo Count Industries Ltd,36,ct
I00234,Spunkmeyer Muffin Variety,Food - Sweets,13,Finland,HARDFORD AB,15,ct
I00235,Zoo Animal Cookies/Crackers,Food - Sweets,14,United States,MAESA SAS,36,ct
I00236,Altoids Small Packs Variety,Gum - Mints,12,United States,MAESA SAS,12,tins
I00237,Breath Savers Peppermints 12/roll ,Gum - Mints,16,poland,CHROMADURLIN S.A.S,24,ct
I00238,Double Bubble Variety Tub,Gum - Mints,12,Netherlands,Bolsius Boxmeer,380,ct
I00239,Extra Variety Packs Sugar Free,Gum - Mints,14,poland,CHROMADURLIN S.A.S,20,pk
I00240,Ice Breaker Mints Sugar Free ,Gum - Mints,14,Lithuania,BIGSO AB,8,ct
I00241,Peppermints Hard Candy,Gum - Mints,12,Finland,HARDFORD AB,636,ct
I00242,Trident Original Flavor 18/pk,Gum - Mints,12,United States,MAESA SAS,14,pk
I00243,Wint O Green LifeSavers Sugar Free,Gum - Mints,16,Lithuania,BIGSO AB,50,oz
I00244,All Purpose Cleaner 409 Spray,Kitchen Supplies,18,Netherlands,Bolsius Boxmeer,160,oz
I00245,Bounty Paper Towels Select a Size ,Kitchen Supplies,26,Lithuania,BIGSO AB,12,rolls
I00246,Cascade Gel Packs Dishwasher,Kitchen Supplies,20,Cambodia,NINGBO SEDUNO IMP & EXP CO.LTD,105,ct
I00247,Cascade Gel w/ Dawn Dishwasher,Kitchen Supplies,15,poland,CHROMADURLIN S.A.S,125,oz
